Station          IGS20 (mm/year)         CHN20 (mm/year)         CHN20 (mm/year)  
           Vel_E   Vel_N   Vel_U     Vel_E   Vel_N   Vel_U     Vel_E   Vel_N   Vel_U    
JFNG        33.1   -11.4     0.4      1.5    -1.4     0.1      1.5    -1.4     0.1 
JXJA        33.2   -11.7     0.3      1.5    -1.5     0.1      1.5    -1.5     0.1 
KMNM        32.4   -12.0     0.4      1.0    -1.1     0.2      1.0    -1.1     0.2 
LUZH        35.1    -9.7     0.3      2.8    -1.9     0.2      2.8    -1.9     0.2 
MAT3        31.8   -12.4     0.1      0.5    -1.1    -0.2      0.5    -1.1    -0.2 
SCBZ        34.3    -9.6     0.7      2.1    -1.4     0.6      2.1    -1.4     0.6 
SCJU        33.7    -8.8     0.9      1.3    -1.2     0.9      1.3    -1.2     0.9 
SCSN        33.8    -9.0     0.3      1.5    -1.2     0.2      1.5    -1.2     0.2 
SCMB        34.9    -9.0     0.3      2.4    -1.6     0.3      2.4    -1.6     0.3 
SNAK        33.8   -10.6     1.2      1.8    -2.0     1.0      1.8    -2.0     1.0 
SNBH        34.0   -10.1     0.4      2.1    -1.2     0.1      2.1    -1.2     0.1 
SNPL        34.1   -10.3     0.4      2.1    -1.5     0.2      2.1    -1.5     0.2 
SNTB        34.5    -9.9     1.2      2.5    -1.6     1.0      2.5    -1.6     1.0 
ZJJD        32.8   -12.2     0.8      1.6    -1.1     0.4      1.6    -1.1     0.4 
ZJWZ        32.6   -12.4    -0.1      1.5    -1.0    -0.5      1.5    -1.0    -0.5 
DXIN        31.1    -4.4     0.7     -0.9     2.0     0.4     -0.9     2.0     0.4 
NMEJ        31.2    -5.3    -0.1     -0.5     1.4    -0.3     -0.5     1.4    -0.3 
XJAL        28.9     2.6     0.1     -2.8     5.6    -0.1     -2.8     5.6    -0.1 
XJBE        28.9     2.5     0.3     -2.8     5.1     0.1     -2.8     5.1     0.1 
XJFY        29.4     2.5     0.0     -2.3     5.9    -0.2     -2.3     5.9    -0.2 
XJQH        30.9     2.0     0.3     -0.9     5.8     0.1     -0.9     5.8     0.1 
DOJI        30.6   -12.7    -0.4     -0.8    -1.5    -0.7     -0.8    -1.5    -0.7 
HIYS        29.7   -11.5    -1.2     -1.0    -1.9    -1.0     -1.0    -1.9    -1.0 
QION        31.7   -10.0     0.2     -0.2    -1.1     0.2     -0.2    -1.1     0.2 
YONG        31.5   -10.9    -2.9     -0.1    -1.4    -2.9     -0.1    -1.4    -2.9 
ULAB        28.3    -8.8     1.6     -1.8    -0.4     1.2     -1.8    -0.4     1.2 
CH01        26.2    -9.9     0.6     -2.3     0.1    -0.0     -2.3     0.1    -0.0 
DXIN        31.1    -4.4     0.7     -0.9     2.0     0.4     -0.9     2.0     0.4 
GSGT        31.1    -3.8     0.6     -1.0     2.5     0.4     -1.0     2.5     0.4 
GSMQ        32.6    -6.2     1.2      0.7     1.0     0.9      0.7     1.0     0.9 
NMAY        31.4    -5.7     1.0     -0.7     1.1     0.7     -0.7     1.1     0.7 
